authid,pubid,author,pub_type,year,title,doi,classification,country,nature,lang,keywords,authors,author_position
1,0,Adriana Dall'Asta Pereira,Trabalho em Evento,2004.0,Promoção da Saúde na Escola,,Local,Brasil,Resumo,Português,,"PEREIRA, A. D.; DOWTSCH, Cristine; PASSOS, Marcelle Do N dos; SILVEIRA, Rosana Andrade da; MOREIRA, Adriana Rufino; DIAS, Ana Cristina Garcia; FERREIRA, Carla Lizandra de Lima; VIEIRA, Eilamaria Libardoni; LINDERMANN, Ivana Loraine; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira; MONTEIRO, Alessandro Trevisan",Primeiro
31,0,Carla Lizandra de Lima Ferreira,Trabalho em Evento,2004.0,Promoção da saúde na escola,,Local,Brasil,Resumo,Português,,"FERREIRA, CARLA LIZANDRA DE LIMA; DOLWITSCH, Cristine; PASSOS, Marcelle dos; SILVEIRA, Rosana Andrade da; PEREIRA, Adriana Dall'asta; MOREIRA, Adriana Rufino; DIAS, Ana Cristina Garcia; VIEIRA, Eilamaria Libardoni; LINDEMANN, Ivana Loraine; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira; MONTEIRO, Alessandro Trevisan",Primeiro
1,0,Adriana Dall'Asta Pereira,Capítulo de Livro Publicado,2006.0,Promoção da Saúde na Escola,,,Brasil,,Português,,"PEREIRA, A. D.; COSTENARO, Regina Gema Santini; MOREIRA, Adriana Rufino; PAVÃO, Silvia Maria de Oliveira; PIVETTA, Edionéia; FERREIRA, Carla Lizandra de Lima; DIAS, Ana Cristina Garcia; FLECK, Juliana; ROSA, Simone Meyer da",Primeiro
1,0,Adriana Dall'Asta Pereira,Trabalho em Evento,2006.0,Promoção da Saúde na Escola,,Local,Brasil,Resumo,Português,,"MOREIRA, Adriana Rufino; SILVEIRA, Andressa; FERREIRA, Carla Lizandra de Lima; VIEIRA, Eilamaria Libardoni; PIVETTA, H.; FLECK, Juliana; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira; ROSA, Simone Meyer da; PEREIRA, A. D.",
1,0,Adriana Dall'Asta Pereira,Trabalho em Evento,2006.0,Promoção da Saúde na Escola,,Regional,Brasil,Resumo Expandido,Português,,"PEREIRA, A. D.; COSTENARO, Regina Santini; FERREIRA, Carla Lizandra de Lima; PIVETTA, Edionéia; PAVÃO, Silvia Maria de Oliveira",Primeiro
31,0,Carla Lizandra de Lima Ferreira,Capítulo de Livro Publicado,2006.0,Promoção de Saúde na Escola,,,Brasil,,Português,  promoção da sáude; escola,"FERREIRA, CARLA LIZANDRA DE LIMA; ROSA, Simone Meyer da; PEREIRA, Adriana Dallasta; MOREIRA, Adriana Rufino; DIAS, Ana Cristina Garcia; VIEIRA, Eilamaria Libardoni; PIVETTA, Hedionéia Maria Folleto; FLECK, Juliana; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira",Primeiro
31,0,Carla Lizandra de Lima Ferreira,Trabalho em Evento,2006.0,Promoção da saúde na escola,,Regional,Brasil,Resumo Expandido,Português,  escola; educação; crianças,"FERREIRA, CARLA LIZANDRA DE LIMA; MOREIRA, Adriana Rufino; PEREIRA, Adriana Dall'asta; PAVÃO, Silvia; COSTENARO, Regina Gema Santini; FLECK, Juliana",Primeiro
85,0,Juliana Fleck,Capítulo de Livro Publicado,2006.0,Promoção Saúde na Escola,,,Brasil,,Português,,"FLECK, J.; ROSA, Simone Meyer; Pereira, Adriana D.; MOREIRA, A. R.; PIVETTA, Hedioneia Maria Foletto; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria se Oliveira; DIAS, Ana Cristina Garcia; FERREIRA, Carla Lizandra de lima; VIEIRA, Eilamaria Libardoni",Primeiro
1,0,Adriana Dall'Asta Pereira,Trabalho em Evento,2007.0,Promoção da Saúde na Escola,,Local,Brasil,Resumo,Português,,"MOREIRA, Adriana Rufino; PEREIRA, A. D.; SILVEIRA, Andressa; FERREIRA, Carla Lizandra de Lima; DECIMO, C.; Mattos, Karen Mello de; PIVETTA, H.; FLECK, Juliana; COSTENARO, Regina Gema Santini; PAVÃO, Silvia Maria de Oliveira; MEYER, S.",
31,0,Carla Lizandra de Lima Ferreira,Trabalho em Evento,2007.0,Promoção da saúde na Escola,,Regional,França,Resumo Expandido,Português,,"COSTENARO, Regina Gema Santni; MOREIRA, Adriana Rufino; PEREIRA, Adriana Dall'asta; FERREIRA, CARLA LIZANDRA DE LIMA; PIVETTA, Hedionéia Maria Folleto; MARTINS, Cleusa Rios; FLECK, Juliana; MATTOS, Karen de Mello; ROSA, Simone Meyer da",
